,Name,Tag,Last War,Town Hall,Clan,Total Wars,Joined Wars,Participation
65,bibhu,#9R9JP000V,5/24/2021,11,Dark Matter,28,2,0.07142857142857142
70,The Dude,#8P0YU0098,5/24/2021,14,Dark Matter,28,2,0.07142857142857142
81,Luca,#8J2LGRUU,5/24/2021,11,Dark Matter,28,13,0.4642857142857143
83,djdrng,#V0UQ2LC,5/24/2021,10,Dark Matter,28,3,0.10714285714285714
120,Dagerson,#V9LQRUJR,5/22/2021,10,Dark Matter,28,3,0.10714285714285714
122,Tricky,#RGVCJJUY,5/22/2021,11,Dark Matter,28,2,0.07142857142857142
136,Optimus,#L2RCPVJV,5/17/2021,10,Dark Matter,28,5,0.17857142857142858
141,turtle,#P2JLJU89L,5/15/2021,14,Dark Matter,28,1,0.03571428571428571
144,OVO_Drip Lord,#YV2LL2R8G,5/13/2021,12,Dark Matter,28,6,0.21428571428571427
227,aid,#CVYC8LQV,,13,Dark Matter,28,0,0.0
228,Grillz11,#Y088UP2GG,,13,Dark Matter,28,0,0.0
229,Mebi,#22PR9220R,,13,Dark Matter,28,0,0.0
230,CHAOS,#YV2P9Q88Q,,10,Dark Matter,28,0,0.0
231,Harvey,#PUGJ2R0C,,10,Dark Matter,28,0,0.0
