PlayerTag,PlayerName,Clan Role,TownHall,PlayerLeague,Clan
#PUYCRJC,mini string,Member,14,Master League II,Mini Matter
#2CY29YCL2,hfgbs,Member,7,Silver League III,Mini Matter
#Q2LGV2L9U,Namejeff,Member,5,Silver League III,Mini Matter
#LV9RCGYCY,寄付者Karuko,Member,6,Silver League III,Mini Matter
#PRVV2GV80,FlipDon,Co-Leader,7,Silver League II,Mini Matter
#LVUR9J2RY,aggrofarmerJo,Member,5,Silver League III,Mini Matter
#QP2Q89982,rūku,Member,6,Silver League III,Mini Matter
#LRLVJGUYC,Machete Juice,Member,8,Silver League III,Mini Matter
#Q9VGC0CQ8,Mr. CoCo,Elder,7,Silver League III,Mini Matter
#Q8RL90GGC,Chief Romanski,Member,6,Silver League III,Mini Matter
#QPVYP9CUL,Lishalan,Member,6,Silver League III,Mini Matter
#Q902PRLCQ,Unmesh,Member,6,Silver League III,Mini Matter
#Q2UQQPGPP,Krakatoa,Co-Leader,5,Silver League III,Mini Matter
#Q8YQ0CCQ2,Alex The Brave,Co-Leader,6,Unranked,Mini Matter
#Q9UQ0JRQC,doe,Member,6,Silver League III,Mini Matter
#8LU98GJ0L,Match Attax,Member,6,Silver League III,Mini Matter
#LLPPPC0UR,Gutti Guy 5,Elder,6,Silver League III,Mini Matter
#QPR9CP8PY,Sarge Luca,Elder,6,Bronze League I,Mini Matter
#QQJQ09JYQ,Rjay✅,Member,5,Bronze League I,Mini Matter
#Q9PC8PJYJ,Dream v2,Co-Leader,5,Unranked,Mini Matter
#Q8GPYC9PR,Darth Chewi,Leader,5,Bronze League I,Mini Matter
#Q00U0CJP0,Grandad 大,Member,5,Bronze League I,Mini Matter
#YRCJ9L80R,Elder's DoorMan,Member,6,Bronze League I,Mini Matter
#QPVGQJPPY,Elusivestream2,Member,5,Bronze League I,Mini Matter
#QL0VGGVUG,muxtar,Member,5,Bronze League I,Mini Matter
#QLUPC22RJ,doug,Member,4,Bronze League I,Mini Matter
#QYL9GPYLJ,wonheda,Member,5,Bronze League I,Mini Matter
#QPV29LPQC,clippers,Member,5,Bronze League I,Mini Matter
#LCQ8JVJQ9,Elite_Potato,Member,5,Unranked,Mini Matter
#QYLPVRRRY,Bean Water,Member,5,Bronze League II,Mini Matter
#QY299LG90,Mr. Coco 1.2,Member,3,Bronze League II,Mini Matter
#QPQCLG809,Karuko 4.0,Member,4,Bronze League II,Mini Matter
#PV2CG0YJ8,Monkeylette,Elder,4,Unranked,Mini Matter
#QY9CQ022P,Extra Sour,Member,4,Bronze League II,Mini Matter
#QY92C9CVV,Booger County,Member,4,Bronze League II,Mini Matter
#PYV2U22QP,DocDon,Elder,5,Bronze League III,Mini Matter
#Q29URRVYG,Sammy,Member,4,Bronze League III,Mini Matter
#QPYCLQPVG,Solaar,Member,4,Bronze League III,Mini Matter
#Q2LU9RCC8,JUMBO JUICE,Member,4,Unranked,Mini Matter
#QYPCLUQCY,cale,Member,4,Unranked,Mini Matter
#LVU80LJ2J,Jumbo Snack,Member,4,Unranked,Mini Matter
#QQRQ0V2PY,Noah,Member,4,Unranked,Mini Matter
