,Name,Tag,Last War,Town Hall,Clan,Total Wars,Joined Wars,Participation
108,Sloth,#Y9V8LUCLQ,8/25/2021,10,Golden Clan,5,1,0.2
120,Hero,#2GQ22RCCG,8/25/2021,10,Golden Clan,5,2,0.4
124,Beyond,#Q0PYP8U0V,8/25/2021,9,Golden Clan,5,1,0.2
126,Grandma 去,#P29R0UYJP,8/23/2021,10,Golden Clan,5,2,0.4
130,GAWD,#PJCPC8280,8/23/2021,10,Golden Clan,5,2,0.4
135,Bot ryze,#LVQ0C20U2,8/18/2021,10,Golden Clan,5,2,0.4
136,Sir Stomp A Lot,#GGP0J2VQ,8/18/2021,10,Golden Clan,5,2,0.4
137,go easy on me,#LJVCYVPV9,8/18/2021,10,Golden Clan,5,2,0.4
293,turtle,#P2JLJU89L,,14,Golden Clan,5,0,0.0
294,doge101,#8ULRC8CYL,,11,Golden Clan,5,0,0.0
295,Dream Dream,#Q0P2YGQ0,,12,Golden Clan,5,0,0.0
296,Majïn Lex,#LG0LRVLPJ,,7,Golden Clan,5,0,0.0
297,Darth Grogu,#QYVPPQQYQ,,3,Golden Clan,5,0,0.0
