Name,Tag,Last War,Town Hall,Clan,Total Wars
wtxmp,#YUP8VPGU2,6/27/2021,14,Dark Matter,39
morfowt,#2PLJPGR0Q,6/27/2021,11,Dark Matter,28
RH Rangers,#2JJGL8JL0,6/27/2021,12,Dark Matter,33
Chewi,#9YUP2GLCY,6/27/2021,14,Dark Matter,34
Drago,#JGYQV8GL,6/27/2021,13,Dark Matter,35
Lexpachi,#28JGQ9YPV,6/27/2021,13,Dark Matter,37
Strider,#9PP22PVPR,6/27/2021,12,Dark Matter,3
Aussie,#2CJGPPR0P,6/27/2021,13,Dark Matter,43
janaenae,#90VV2VVU,6/27/2021,13,Dark Matter,43
Revolt,#289YCRGU2,6/27/2021,13,Dark Matter,40
Panther,#8PYP2J02J,6/27/2021,14,Dark Matter,37
Sug,#2990QPY0,6/27/2021,14,Dark Matter,39
Alex,#LUQ9989,6/27/2021,12,Dark Matter,40
HomeSlicedToast,#G099YGUG,6/27/2021,12,Dark Matter,26
McNuggets,#VRJ9VG0R,6/27/2021,14,Dark Matter,39
Gutti Guy,#2YYL8LC9Q,6/27/2021,11,Dark Matter,24
B-Mar,#2L9VLQL0Q,6/27/2021,11,Dark Matter,39
Grillz11,#Y088UP2GG,6/27/2021,13,Dark Matter,9
HS McChicken,#C08PVLUU,6/27/2021,12,Dark Matter,30
Aid2,#8LY0RYJ28,6/27/2021,14,Dark Matter,36
aggrofarmerJo,#LVUR9J2RY,6/26/2021,5,Mini Matter,2
Karaka,#QPQCLG809,6/26/2021,5,Mini Matter,8
FlipDon,#PRVV2GV80,6/26/2021,7,Mini Matter,27
Rjay✅,#QQJQ09JYQ,6/26/2021,6,Mini Matter,1
Extra Sour,#QY9CQ022P,6/26/2021,5,Mini Matter,2
Bean Water,#QYLPVRRRY,6/26/2021,5,Mini Matter,2
Doorman SP,#L20CJU9C0,6/26/2021,3,Mini Matter,18
Dream v2,#Q9PC8PJYJ,6/26/2021,5,Mini Matter,21
TMG,#QY0LUG22J,6/26/2021,6,Mini Matter,1
Grandad 大,#Q00U0CJP0,6/26/2021,5,Mini Matter,6
Elusive 2,#QPVGQJPPY,6/26/2021,5,Mini Matter,2
Krakatoa,#Q2UQQPGPP,6/26/2021,6,Mini Matter,16
Namejeff,#Q2LGV2L9U,6/26/2021,6,Mini Matter,2
Match Attax,#8LU98GJ0L,6/26/2021,6,Mini Matter,34
寄付者Karuko,#LV9RCGYCY,6/26/2021,6,Mini Matter,2
Mr. Coco 1.2,#QY299LG90,6/26/2021,3,Mini Matter,5
DocDon,#PYV2U22QP,6/26/2021,5,Mini Matter,22
Sammy,#Q29URRVYG,6/26/2021,5,Mini Matter,1
Monkeylette,#PV2CG0YJ8,6/26/2021,4,Mini Matter,26
Mona Lisa,#QQ00UC2LL,6/26/2021,6,Mini Matter,1
Elder's DoorMan,#YRCJ9L80R,6/26/2021,6,Mini Matter,17
clippers,#QPV29LPQC,6/26/2021,5,Mini Matter,3
Booger County,#QY92C9CVV,6/26/2021,5,Mini Matter,3
Darth Chewi,#Q8GPYC9PR,6/26/2021,5,Mini Matter,33
JanLPunkt,#PJJYJJCY,6/25/2021,9,Sheer Force,4
Kismet_27,#Q0L0VY0PQ,6/25/2021,9,Sheer Force,36
marbabe,#Y9CP0YPC8,6/25/2021,8,Sheer Force,5
/AaRoN\,#YV9P9GC0P,6/25/2021,9,Sheer Force,11
Pride,#92GJ2JUCG,6/25/2021,9,Sheer Force,7
ChewDon,#9GRLJC9UJ,6/25/2021,9,Sheer Force,11
Pixalite,#29Q8Y200G,6/25/2021,9,Sheer Force,28
Sir Exterminate,#2P02RVJUY,6/25/2021,9,Sheer Force,3
MiniPix,#LLURGGVP0,6/25/2021,5,Sheer Force,13
Pixal,#990LG8Q9R,6/25/2021,11,Sheer Force,36
Pork_Adobo,#QU29PUQ8,6/25/2021,9,Sheer Force,20
SkyNet,#292LQVGP8,6/25/2021,10,Sheer Force,28
marleigh,#QGCLV2J0,6/25/2021,11,Sheer Force,15
Right Pix,#9PJG98QCR,6/25/2021,8,Sheer Force,20
STEM enjoyer,#QPLPJRJQP,6/25/2021,8,Sheer Force,1
verbatxm,#20R9QGCJC,6/25/2021,10,Legendary Monks,25
littlesonshine,#RCV08YPR,6/25/2021,12,Sheer Force,42
spacerock12,#9C02URYL,6/25/2021,10,Sheer Force,1
Cytosed,#QP90VG0VC,6/25/2021,9,Sheer Force,10
Willy,#22Q8Y2CU9,6/25/2021,10,Killer_Black_Wf,12
Dry Dream,#LVY9R20CR,6/25/2021,10,Killer_Black_Wf,29
Karuko,#2G2YCU0P9,6/25/2021,10,Killer_Black_Wf,30
Hut,#PGRCLG2JU,6/25/2021,9,Killer_Black_Wf,4
go easy on me,#LJVCYVPV9,6/25/2021,10,Killer_Black_Wf,25
THE DARK VENOM,#UGYUR2V9,6/25/2021,10,Killer_Black_Wf,8
Warlords Outcry,#VG0PV298,6/25/2021,10,Killer_Black_Wf,33
Harsh (gt)25,#2CJPGVLQ2,6/25/2021,10,Killer_Black_Wf,29
