,Name,Tag,Last War,Town Hall,Clan,Total Wars,Joined Wars,Participation
140,Nathan,#P8PU0U8JU,8/25/2021,9,Legendary Monks,5,2,0.4
141,TMG,#QY0LUG22J,8/25/2021,9,Legendary Monks,5,2,0.4
144,Kingsjo,#9YGPGJRGC,8/25/2021,8,Legendary Monks,5,2,0.4
147,iam5ick,#QY0PL2QCL,8/25/2021,8,Legendary Monks,5,2,0.4
160,Hannibal Lecter,#QLP92PVVV,8/23/2021,9,Legendary Monks,5,2,0.4
166,Designerpog,#QP2LUC009,8/23/2021,9,Legendary Monks,5,2,0.4
169,JanLPunkt,#PJJYJJCY,8/14/2021,9,Legendary Monks,5,2,0.4
170,aggrofarmerJo,#LVUR9J2RY,8/14/2021,9,Legendary Monks,5,2,0.4
171,borse11,#LYC9YC9CQ,8/14/2021,9,Legendary Monks,5,2,0.4
172,Sherbert Head,#8PJ9LCLQ,8/12/2021,8,Legendary Monks,5,1,0.2
173,Elixir,#PCQVY2RUJ,8/12/2021,8,Legendary Monks,5,1,0.2
174,SIMI,#288JCJ9VR,8/12/2021,9,Legendary Monks,5,1,0.2
175,BedwarsOP,#Q9QV9J2L8,8/12/2021,9,Legendary Monks,5,1,0.2
176,Murple,#LJCPUJYYC,8/12/2021,9,Legendary Monks,5,1,0.2
299,VILLAGE BICYCLE,#222VPJPU,,14,Legendary Monks,5,0,0.0
300,DangerDan,#QPVQU9CQ8,,8,Legendary Monks,5,0,0.0
301,Gutti Guy 2,#Y9LCJP8LQ,,9,Legendary Monks,5,0,0.0
302,Scarface,#YCPJCLV82,,8,Legendary Monks,5,0,0.0
303,⚔️FC Warrior⚔️,#LVJ0LPCU9,,8,Legendary Monks,5,0,0.0
304,Chewi ⭐⭐⭐⭐⭐,#P08LRYVYJ,,9,Legendary Monks,5,0,0.0
305,XalphBm™,#LGRGV08JQ,,7,Legendary Monks,5,0,0.0
