,Name,Tag,Last War,Town Hall,Clan,Total Wars,Joined Wars,Participation
31,Elder's DoorMan,#YRCJ9L80R,8/23/2021,6,Mini Matter,5,2,0.4
33,BlueNxtz,#Q0L2PGVVJ,8/23/2021,8,Mini Matter,5,2,0.4
37,Alex The Strong,#Q9PU2PJJL,8/23/2021,7,Mini Matter,5,2,0.4
38,clone,#QQJYG0JUL,8/23/2021,5,Mini Matter,5,1,0.2
39,ob,#YL8LRVYVJ,8/23/2021,9,Mini Matter,5,2,0.4
42,G.O.L.D.,#Y0GLU0G9Y,8/23/2021,8,Mini Matter,5,2,0.4
44,Baby Dream,#LCQYULLVR,8/23/2021,7,Mini Matter,5,2,0.4
45,jerry,#QLQP8RVQY,8/23/2021,7,Mini Matter,5,2,0.4
46,Blood Oath,#QYC2GCPGQ,8/23/2021,5,Mini Matter,5,1,0.2
47,bav,#PYR0GCQRG,8/23/2021,7,Mini Matter,5,2,0.4
51,clippers,#QPV29LPQC,8/21/2021,6,Mini Matter,5,2,0.4
52,Kanchan,#P8VYCRGL8,8/21/2021,6,Mini Matter,5,1,0.2
53,Toyac,#QLYJY90V8,8/11/2021,3,Mini Matter,5,1,0.2
55,Doorman SP,#L20CJU9C0,8/5/2021,3,Mini Matter,5,1,0.2
269,mini string,#PUYCRJC,,14,Mini Matter,5,0,0.0
270,7th Ward Demon,#LPCQLCP8,,10,Mini Matter,5,0,0.0
271,наскел,#9QQYYR29,,12,Mini Matter,5,0,0.0
272,Machete Juice,#LRLVJGUYC,,8,Mini Matter,5,0,0.0
273,PrimeDrag™,#Q88P2YGR9,,2,Mini Matter,5,0,0.0
274,Gutti Guy 5,#LLPPPC0UR,,6,Mini Matter,5,0,0.0
275,Sarge Luca,#QPR9CP8PY,,6,Mini Matter,5,0,0.0
276,parker,#LV2JQ8PJP,,4,Mini Matter,5,0,0.0
277,cam,#Q09V0LL8P,,5,Mini Matter,5,0,0.0
278,Jairo,#LV8JU92VQ,,4,Mini Matter,5,0,0.0
279,Astrid,#QYL2CUUVV,,5,Mini Matter,5,0,0.0
280,JUMBO JUICE,#Q2LU9RCC8,,4,Mini Matter,5,0,0.0
281,Raffallo,#PQY22VU2L,,4,Mini Matter,5,0,0.0
282,Jumbo Snack,#LVU80LJ2J,,4,Mini Matter,5,0,0.0
283,iceman,#QLPPURUPV,,5,Mini Matter,5,0,0.0
284,Fruit Smoothie,#Q2LUVJQPL,,3,Mini Matter,5,0,0.0
285,Bella,#L0VU2Q8VC,,4,Mini Matter,5,0,0.0
286,Baby Sapp,#Q89GYGU88,,3,Mini Matter,5,0,0.0
287,jimmy,#QL9GV8G0Y,,4,Mini Matter,5,0,0.0
