,Name,Tag,Last War,Town Hall,Clan,Total Wars,Joined Wars,Participation
44,JanLPunkt,#PJJYJJCY,6/25/2021,9,Sheer Force,42,4,0.09523809523809523
46,marbabe,#Y9CP0YPC8,6/25/2021,8,Sheer Force,42,5,0.11904761904761904
47,/AaRoN\,#YV9P9GC0P,6/25/2021,9,Sheer Force,42,11,0.2619047619047619
48,Pride,#92GJ2JUCG,6/25/2021,9,Sheer Force,42,7,0.16666666666666666
49,ChewDon,#9GRLJC9UJ,6/25/2021,9,Sheer Force,42,11,0.2619047619047619
51,Sir Exterminate,#2P02RVJUY,6/25/2021,9,Sheer Force,42,3,0.07142857142857142
52,MiniPix,#LLURGGVP0,6/25/2021,5,Sheer Force,42,13,0.30952380952380953
54,Pork_Adobo,#QU29PUQ8,6/25/2021,9,Sheer Force,42,20,0.47619047619047616
56,marleigh,#QGCLV2J0,6/25/2021,11,Sheer Force,42,15,0.35714285714285715
57,Right Pix,#9PJG98QCR,6/25/2021,8,Sheer Force,42,20,0.47619047619047616
58,STEM enjoyer,#QPLPJRJQP,6/25/2021,8,Sheer Force,42,1,0.023809523809523808
61,spacerock12,#9C02URYL,6/25/2021,10,Sheer Force,42,1,0.023809523809523808
62,Cytosed,#QP90VG0VC,6/25/2021,9,Sheer Force,42,10,0.23809523809523808
93,Trap Master,#2JQGJ8LU9,6/23/2021,10,Sheer Force,42,9,0.21428571428571427
95,MY5T3RY5M4RT13,#L0JV0LQR0,6/23/2021,10,Sheer Force,42,12,0.2857142857142857
96,You,#LUGV8UP2C,6/23/2021,8,Sheer Force,42,1,0.023809523809523808
138,Xenpachi,#LJJLUL92L,6/17/2021,9,Sheer Force,42,3,0.07142857142857142
145,f2,#LUPYQ0G9C,6/13/2021,9,Sheer Force,42,1,0.023809523809523808
190,ob,#YL8LRVYVJ,3/28/2021,9,Sheer Force,42,1,0.023809523809523808
236,Logan,#280QYU8Y,,14,Sheer Force,42,0,0.0
237,BedwarsOP,#Q9QV9J2L8,,8,Sheer Force,42,0,0.0
