Name,Tag,Last War,Town Hall,Clan,Total Wars
SkyNet,#292LQVGP8,6/19/2021,10,Sheer Force,26
Kismet_27,#Q0L0VY0PQ,6/19/2021,9,Sheer Force,33
Right Pix,#9PJG98QCR,6/19/2021,8,Sheer Force,17
HomeSlicedToast,#G099YGUG,6/19/2021,12,Dark Matter,23
Tricky,#RGVCJJUY,6/19/2021,11,Sheer Force,10
/AaRoN\,#YV9P9GC0P,6/19/2021,9,Sheer Force,8
littlesonshine,#RCV08YPR,6/19/2021,12,Sheer Force,39
Blue,#JCYYY9VY,6/19/2021,11,Sheer Force,27
Pixal,#990LG8Q9R,6/19/2021,11,Sheer Force,33
NG,#99QG0020J,6/19/2021,9,Sheer Force,4
JanLPunkt,#PJJYJJCY,6/19/2021,9,Sheer Force,1
MiniPix,#LLURGGVP0,6/19/2021,5,Sheer Force,10
Pork_Adobo,#QU29PUQ8,6/19/2021,9,Sheer Force,18
Pixalite,#29Q8Y200G,6/19/2021,9,Sheer Force,25
GAWD,#PJCPC8280,6/19/2021,10,Sheer Force,26
Shadvox,#RYC8LYG2,6/19/2021,10,Sheer Force,9
Pride,#92GJ2JUCG,6/19/2021,9,Sheer Force,6
Cytosed,#QP90VG0VC,6/19/2021,8,Sheer Force,7
verbatxm,#20R9QGCJC,6/19/2021,10,Sheer Force,22
Kruptos,#Q9CP8QJJR,6/19/2021,9,Legendary Monks,20
Alex The Strong,#Q9PU2PJJL,6/19/2021,7,Legendary Monks,14
Beyond,#Q0PYP8U0V,6/19/2021,9,Legendary Monks,33
prelor,#80PV0Q0U2,6/19/2021,8,Legendary Monks,4
FrenzyJon,#90J0RPY2,6/19/2021,7,Legendary Monks,2
OGclashplayer,#L202YPUR8,6/19/2021,8,Legendary Monks,9
Hoodie,#Q9CQR8J0U,6/19/2021,7,Legendary Monks,1
Burns,#LC02LYCL8,6/19/2021,9,Legendary Monks,29
Sprinter,#Q2828PRLG,6/19/2021,8,Legendary Monks,29
OUTTVT1ME,#LGPV08RLJ,6/19/2021,9,Legendary Monks,27
Leviathan,#Q9GUCYJ98,6/19/2021,7,Legendary Monks,1
Hut,#PGRCLG2JU,6/19/2021,9,Killer_Black_Wf,2
Designerpog,#QP2LUC009,6/19/2021,8,Legendary Monks,12
hippie god,#8022280QL,6/19/2021,8,Legendary Monks,2
Onahole,#8PP29PLC8,6/19/2021,10,Legendary Monks,34
Murple,#LJCPUJYYC,6/19/2021,9,Legendary Monks,27
joker face,#QPYRLQVC9,6/19/2021,8,Legendary Monks,10
laruee47,#QYU0RRGJL,6/19/2021,8,Legendary Monks,25
PENCIL,#LUUYL909Y,6/19/2021,8,Legendary Monks,21
Jimbooo,#QPPCJ8RJ8,6/19/2021,8,Legendary Monks,8
Elixir,#PCQVY2RUJ,6/19/2021,8,Legendary Monks,32
kingTzilla,#2LQ9Y8CUR,6/19/2021,8,Legendary Monks,8
John,#2G0R9YRCR,6/19/2021,9,Legendary Monks,3
⚔️FC Warrior⚔️,#LVJ0LPCU9,6/19/2021,8,Legendary Monks,19
Come-Stayin,#PVVP028R8,6/19/2021,7,Legendary Monks,37
Krakatoa,#Q2UQQPGPP,6/19/2021,5,Mini Matter,14
Booger County,#QY92C9CVV,6/19/2021,4,Mini Matter,1
Chief Romanski,#Q8RL90GGC,6/19/2021,6,Mini Matter,1
hfgbs,#2CY29YCL2,6/19/2021,7,Mini Matter,3
Bean Water,#QYLPVRRRY,6/19/2021,5,Mini Matter,1
Darth Chewi,#Q8GPYC9PR,6/19/2021,5,Mini Matter,31
Doorman SP,#L20CJU9C0,6/19/2021,3,Mini Matter,16
Monkeylette,#PV2CG0YJ8,6/19/2021,4,Mini Matter,24
Mr. CoCo,#Q9VGC0CQ8,6/19/2021,7,Mini Matter,33
Match Attax,#8LU98GJ0L,6/19/2021,6,Mini Matter,33
Mr. Coco 1.2,#QY299LG90,6/19/2021,3,Mini Matter,3
Grandad 大,#Q00U0CJP0,6/19/2021,5,Mini Matter,4
Alex The Brave,#Q8YQ0CCQ2,6/19/2021,6,Mini Matter,11
Karuko 4.0,#QPQCLG809,6/19/2021,4,Mini Matter,6
DocDon,#PYV2U22QP,6/19/2021,5,Mini Matter,21
Dream v2,#Q9PC8PJYJ,6/19/2021,5,Mini Matter,19
FlipDon,#PRVV2GV80,6/19/2021,7,Mini Matter,25
wtxmp,#YUP8VPGU2,6/18/2021,14,Dark Matter,35
Drago,#JGYQV8GL,6/18/2021,13,Dark Matter,32
Panther,#8PYP2J02J,6/18/2021,14,Dark Matter,33
Lexpachi,#28JGQ9YPV,6/18/2021,13,Dark Matter,34
Sug,#2990QPY0,6/18/2021,14,Dark Matter,35
RH Rangers,#2JJGL8JL0,6/18/2021,12,Dark Matter,30
Gutti Guy,#2YYL8LC9Q,6/18/2021,11,Dark Matter,22
B-Mar,#2L9VLQL0Q,6/18/2021,11,Dark Matter,35
Kiwi,#2C9LR9P2Q,6/18/2021,12,Dark Matter,6
McNuggets,#VRJ9VG0R,6/18/2021,14,Dark Matter,35
Revolt,#289YCRGU2,6/18/2021,13,Dark Matter,36
morfowt,#2PLJPGR0Q,6/18/2021,11,Dark Matter,24
Chewi,#9YUP2GLCY,6/18/2021,14,Dark Matter,30
HS McChicken,#C08PVLUU,6/18/2021,12,Dark Matter,26
Aurora,#LQYQLGRQY,6/18/2021,10,Dark Matter,24
Aid2,#8LY0RYJ28,6/18/2021,14,Dark Matter,32
Aussie,#2CJGPPR0P,6/18/2021,13,Dark Matter,39
Alex,#LUQ9989,6/18/2021,12,Dark Matter,36
Big Mac,#9P9GR08Y,6/18/2021,13,Dark Matter,34
The Dude,#8P0YU0098,6/18/2021,14,Dark Matter,11
janaenae,#90VV2VVU,6/18/2021,13,Dark Matter,39
real max,#822PJRY80,6/18/2021,14,Dark Matter,2
Trap Master,#2JQGJ8LU9,6/18/2021,10,Dark Matter,7
French Fry,#2UC829Q0R,6/18/2021,14,Dark Matter,34
Pix,#2U2LLLQVV,6/18/2021,13,Dark Matter,33
Lindberghh II,#LUCC0GYPY,6/18/2021,10,Killer_Black_Wf,2
Kramer,#YYLC2CJ20,6/18/2021,9,Killer_Black_Wf,11
Hero,#2GQ22RCCG,6/18/2021,10,Killer_Black_Wf,9
o0o_Jerson_o0o,#PL9VLC9RP,6/18/2021,11,Killer_Black_Wf,33
DonCorleone,#2CYVR82QQ,6/18/2021,9,Killer_Black_Wf,9
Dagerson,#V9LQRUJR,6/18/2021,10,Killer_Black_Wf,9
bibhu,#9R9JP000V,6/18/2021,11,Killer_Black_Wf,7
THE DARK VENOM,#UGYUR2V9,6/18/2021,10,Killer_Black_Wf,6
Dry Dream,#LVY9R20CR,6/18/2021,10,Killer_Black_Wf,26
ZARD,#LJ92JJ8Q,6/18/2021,10,Killer_Black_Wf,15
curtickle,#Q08UPC0G,6/18/2021,10,Killer_Black_Wf,25
Sandip!,#2GCV29CGG,6/18/2021,9,Killer_Black_Wf,24
Ed,#2VUUV2VJ2,6/18/2021,10,Killer_Black_Wf,18
Karuko,#2G2YCU0P9,6/18/2021,10,Killer_Black_Wf,27
⚠KaBbOoM⚠,#9JU8LR2UY,6/18/2021,10,Killer_Black_Wf,2
Hypathios,#82C9UC0U9,6/18/2021,12,Killer_Black_Wf,20
Harvey,#PUGJ2R0C,6/18/2021,10,Killer_Black_Wf,6
Warlords Outcry,#VG0PV298,6/18/2021,10,Killer_Black_Wf,30
Robin,#L2RCPVJV,6/18/2021,10,Killer_Black_Wf,11
Baby Dragon,#LPU228892,6/17/2021,9,Sheer Force,5
luvly,#Q9GPQ08Y8,6/17/2021,9,Sheer Force,30
MY5T3RY5M4RT13,#L0JV0LQR0,6/17/2021,10,Sheer Force,10
Xenpachi,#LJJLUL92L,6/17/2021,9,Sheer Force,3
Master Of ATT,#YY8YQCPP8,6/17/2021,8,Legendary Monks,5
doe,#Q9UQ0JRQC,6/17/2021,6,Mini Matter,2
Unmesh,#Q902PRLCQ,6/17/2021,6,Mini Matter,2
Elder's DoorMan,#YRCJ9L80R,6/17/2021,6,Mini Matter,15
clippers,#QPV29LPQC,6/17/2021,5,Mini Matter,1
dev,#QLUPYVV2U,6/17/2021,4,Mini Matter,1
doug,#QLUPC22RJ,6/17/2021,4,Mini Matter,1
